iter	RMSE
0	1.769605967
1	1.618923755
2	1.486040055
3	1.364830025
4	1.257479645
5	1.160096749
6	1.074787187
7	0.9976840648
8	0.9311695701
9	0.8723460392
10	0.8200128791
11	0.7738902907
12	0.7317470468
13	0.695831949
14	0.6657486113
15	0.6383171252
16	0.614847199
17	0.5945841489
18	0.57692766
19	0.5617656861
20	0.5480797327
21	0.5359187248
22	0.525949071
23	0.5169721233
24	0.5094491598
25	0.5014607372
26	0.4954139983
27	0.4902722723
28	0.48415522
29	0.4800526779
30	0.4760377862
31	0.4724880386
32	0.4688892205
33	0.465425148
34	0.4624861257
35	0.4600829619
36	0.4576837705
37	0.4556470738
38	0.4538822967
39	0.4517994553
40	0.4497408473
41	0.4481069951
42	0.4468071618
43	0.4455304515
44	0.4441115942
45	0.443192733
46	0.4419574056
47	0.4409113097
48	0.4402344597
49	0.4386424604
50	0.4372983524
51	0.4360590455
52	0.435144229
53	0.434435961
54	0.4331743127
55	0.4322053874
56	0.4312857404
57	0.430424204
58	0.4297393032
59	0.4288324474
60	0.428285044
61	0.4279814888
62	0.427062806
63	0.4265380464
64	0.4256265946
65	0.4251925753
66	0.4242978622
67	0.4236042519
68	0.423001721
69	0.4225530145
70	0.4219784433
71	0.421471994
72	0.4207584522
73	0.4203373625
74	0.4198007706
75	0.4194204588
76	0.4190402637
77	0.4185111398
78	0.4177169158
79	0.4169528636
80	0.4165909989
81	0.4159803448
82	0.4152908125
83	0.4143257772
84	0.4139346932
85	0.4135118827
86	0.4131096016
87	0.4127841192
88	0.4125087898
89	0.4119583857
90	0.411626095
91	0.4112562242
92	0.4108597298
93	0.4105235735
94	0.409905925
95	0.4095736986
96	0.4092251299
97	0.4088767316
98	0.4084455033
99	0.408178583
100	0.4075295063
101	0.4069894097
102	0.4066410545
103	0.4063665271
104	0.4061016783
105	0.4056379636
106	0.4051919441
107	0.404410768
108	0.4040274417
109	0.4032838745
110	0.4030327984
111	0.4025100299
112	0.4021198017
113	0.4017793968
114	0.401300617
115	0.4010440965
116	0.4006220733
117	0.4003978824
118	0.3999236676
119	0.3996336696
120	0.3993536648
121	0.3990659833
122	0.398797637
123	0.3984664906
124	0.3980951176
125	0.3976034865
126	0.3969893466
127	0.3966303686
128	0.3963864789
129	0.3961009206
130	0.3957101639
131	0.395377088
132	0.3950289301
133	0.3947339954
134	0.3944050026
135	0.3941236591
136	0.393912105
137	0.3936307831
138	0.3932754954
139	0.3929917963
140	0.3925971237
141	0.3923782483
142	0.3921197957
143	0.391838782
144	0.3914632562
145	0.3912514957
146	0.3910277849
147	0.3908309844
148	0.3906196496
149	0.390353207
150	0.3899783747
151	0.3897411187
152	0.3893639821
153	0.3891678129
154	0.3889282156
155	0.3885759047
156	0.388327377
157	0.3881404262
158	0.3879339112
159	0.3876645639
160	0.3874319792
161	0.3872196262
162	0.3870295413
163	0.3868192588
164	0.386521141
165	0.3863105526
166	0.3861362014
167	0.3858220749
168	0.3856944061
169	0.3855760883
170	0.3853950747
171	0.384984431
172	0.3847249985
173	0.3844836405
174	0.3842281433
175	0.3840939892
176	0.3839001379
177	0.383756319
178	0.3835880848
179	0.3833942896
180	0.3830633574
181	0.3829127774
182	0.3828050803
183	0.38245321
184	0.3823253419
185	0.3821412016
186	0.3818775399
187	0.3817547761
188	0.3815762577
189	0.3813692853
190	0.3812637007
191	0.381100229
192	0.380883503
193	0.3804564957
194	0.3803329468
195	0.3801157662
196	0.3799438434
197	0.379823243
198	0.3797236675
199	0.3795816999
200	0.3794363141
201	0.3792396973
202	0.3790685211
203	0.3788794989
204	0.3787848485
205	0.3787024538
206	0.3785160553
207	0.3783944847
208	0.3781423091
209	0.3780608851
210	0.3778635124
211	0.3777595158
212	0.3776478498
213	0.3775123128
214	0.3773553325
215	0.377183179
216	0.3768601499
217	0.3767254621
