iter	Passed	Remaining
414	2821	3977
415	2827	3969
416	2834	3962
417	2840	3954
418	2846	3947
419	2852	3939
420	2859	3931
421	2866	3926
422	2873	3920
423	2880	3913
424	2886	3905
425	2892	3897
426	2898	3889
427	2904	3881
428	2910	3873
429	2916	3865
430	2923	3859
431	2929	3852
432	2936	3845
433	2942	3838
434	2948	3830
435	2954	3822
436	2960	3814
437	2966	3806
438	2973	3799
439	2978	3791
440	2984	3783
441	2992	3777
442	2999	3770
443	3005	3763
444	3011	3755
445	3017	3747
446	3023	3740
447	3029	3733
448	3036	3726
449	3042	3718
450	3049	3711
451	3056	3706
452	3063	3699
453	3069	3691
454	3075	3684
455	3081	3676
456	3087	3668
457	3092	3660
458	3099	3652
459	3106	3646
460	3113	3639
461	3119	3632
462	3124	3624
463	3130	3616
464	3136	3608
465	3142	3601
466	3148	3594
467	3154	3586
468	3160	3578
469	3168	3572
470	3175	3566
471	3182	3559
472	3188	3552
473	3194	3545
474	3201	3538
475	3207	3530
476	3212	3522
477	3219	3516
478	3227	3510
479	3234	3504
480	3240	3496
481	3246	3489
482	3252	3481
483	3258	3473
484	3264	3466
485	3270	3458
486	3277	3452
487	3284	3446
488	3291	3440
489	3298	3432
490	3304	3425
491	3310	3417
492	3316	3410
493	3322	3403
494	3328	3395
495	3336	3390
496	3343	3383
497	3349	3376
498	3355	3368
499	3362	3362
500	3369	3355
501	3376	3349
502	3383	3343
503	3390	3336
504	3397	3330
505	3404	3324
506	3412	3318
507	3418	3311
508	3425	3304
509	3431	3296
510	3437	3289
511	3443	3281
512	3449	3274
513	3455	3266
514	3461	3260
515	3468	3253
516	3475	3247
517	3482	3240
518	3488	3232
519	3494	3225
520	3499	3217
521	3505	3209
522	3511	3202
523	3516	3194
524	3523	3187
525	3530	3181
526	3537	3174
527	3545	3169
528	3551	3161
529	3557	3154
530	3562	3146
531	3568	3139
532	3574	3131
533	3579	3123
534	3586	3117
535	3593	3110
536	3600	3104
537	3606	3096
538	3611	3089
539	3617	3081
540	3623	3073
541	3628	3066
542	3634	3058
543	3639	3050
544	3644	3042
545	3651	3036
546	3658	3029
547	3664	3022
548	3670	3015
549	3676	3007
550	3682	3000
551	3688	2993
552	3694	2986
553	3700	2978
554	3705	2971
555	3712	2964
556	3719	2958
557	3726	2952
558	3732	2944
559	3738	2937
560	3744	2930
561	3750	2923
562	3756	2915
563	3762	2908
564	3769	2902
565	3776	2895
566	3783	2889
567	3791	2883
568	3798	2876
569	3804	2869
570	3810	2862
571	3816	2855
572	3823	2849
573	3830	2843
574	3836	2835
575	3842	2828
576	3848	2821
577	3854	2813
578	3860	2806
579	3865	2799
580	3871	2791
581	3877	2784
582	3883	2777
583	3890	2771
584	3896	2764
585	3904	2758
586	3911	2751
587	3917	2744
588	3923	2737
589	3929	2730
590	3936	2724
591	3942	2717
592	3948	2710
593	3955	2703
594	3963	2697
595	3969	2690
596	3975	2683
597	3981	2676
598	3988	2669
599	3994	2662
600	4000	2655
601	4007	2649
602	4014	2642
603	4020	2635
604	4026	2628
605	4032	2621
606	4037	2614
607	4043	2606
608	4049	2600
609	4055	2593
610	4062	2586
611	4069	2579
612	4076	2573
613	4082	2566
614	4087	2558
615	4093	2551
616	4099	2544
617	4105	2537
618	4111	2530
619	4117	2523
620	4123	2516
621	4130	2509
622	4136	2503
623	4143	2496
624	4149	2489
625	4156	2483
626	4162	2476
627	4168	2469
628	4173	2461
629	4179	2454
630	4184	2447
631	4191	2440
632	4197	2433
633	4204	2427
634	4210	2420
635	4216	2413
636	4222	2406
637	4228	2398
638	4234	2392
639	4240	2385
640	4246	2378
641	4252	2371
642	4259	2364
643	4265	2358
644	4271	2351
645	4277	2343
646	4282	2336
647	4289	2330
648	4296	2323
649	4302	2316
650	4309	2310
651	4314	2303
652	4321	2296
653	4328	2290
654	4337	2284
655	4342	2277
656	4348	2270
657	4354	2263
658	4360	2256
659	4366	2249
660	4372	2242
661	4377	2235
662	4384	2228
663	4391	2222
664	4398	2215
665	4404	2208
666	4410	2202
667	4417	2195
668	4422	2188
669	4428	2181
670	4434	2174
671	4439	2167
672	4446	2160
673	4453	2154
674	4460	2147
675	4467	2141
676	4474	2134
677	4480	2127
678	4485	2120
679	4492	2114
680	4498	2107
681	4504	2100
682	4512	2094
683	4518	2087
684	4525	2081
685	4531	2074
686	4538	2067
687	4544	2061
688	4551	2054
689	4557	2047
690	4563	2040
691	4570	2034
692	4577	2027
693	4584	2021
694	4590	2014
695	4596	2007
696	4602	2000
697	4608	1994
698	4614	1987
699	4620	1980
700	4626	1973
701	4634	1967
702	4641	1960
703	4647	1954
704	4653	1947
705	4659	1940
706	4664	1933
707	4670	1926
708	4676	1919
709	4682	1912
710	4688	1905
711	4694	1898
712	4699	1891
713	4705	1884
714	4711	1878
715	4717	1871
716	4722	1864
717	4728	1857
718	4734	1850
719	4741	1843
720	4746	1836
721	4753	1830
722	4760	1823
723	4767	1817
724	4772	1810
725	4778	1803
726	4784	1796
727	4791	1790
728	4797	1783
729	4804	1776
730	4810	1770
731	4817	1763
732	4825	1757
733	4833	1751
734	4840	1745
735	4847	1738
736	4853	1732
737	4860	1725
738	4867	1718
739	4873	1712
740	4881	1706
741	4888	1699
742	4894	1693
743	4900	1686
744	4907	1679
745	4913	1672
746	4919	1666
747	4925	1659
748	4931	1652
749	4938	1646
750	4945	1639
751	4953	1633
752	4959	1626
753	4965	1620
754	4971	1613
755	4977	1606
756	4983	1599
757	4989	1592
758	4994	1585
759	5001	1579
760	5008	1573
761	5016	1566
762	5022	1560
763	5028	1553
764	5035	1546
765	5042	1540
766	5050	1534
767	5056	1527
768	5064	1521
769	5071	1514
770	5078	1508
771	5085	1501
772	5091	1495
773	5098	1488
774	5104	1481
775	5110	1475
776	5116	1468
777	5122	1461
778	5129	1455
779	5136	1448
780	5143	1442
781	5149	1435
782	5156	1429
783	5162	1422
784	5168	1415
785	5174	1408
786	5179	1401
787	5186	1395
788	5193	1388
789	5200	1382
790	5207	1375
791	5213	1369
792	5219	1362
793	5225	1355
794	5231	1349
795	5237	1342
796	5243	1335
797	5250	1329
798	5257	1322
799	5263	1315
800	5269	1309
801	5275	1302
802	5282	1295
803	5289	1289
804	5296	1283
805	5303	1276
806	5309	1269
807	5317	1263
808	5324	1257
809	5332	1250
810	5338	1244
811	5343	1237
812	5349	1230
813	5356	1223
814	5362	1217
815	5368	1210
816	5376	1204
817	5383	1197
818	5390	1191
819	5396	1184
820	5404	1178
821	5412	1171
822	5419	1165
823	5425	1158
824	5431	1152
825	5439	1145
826	5446	1139
827	5452	1132
828	5458	1125
829	5464	1119
830	5471	1112
831	5477	1106
832	5483	1099
833	5491	1093
834	5498	1086
835	5506	1080
836	5512	1073
837	5519	1066
838	5525	1060
839	5530	1053
840	5538	1047
841	5544	1040
842	5551	1033
843	5558	1027
844	5565	1020
845	5572	1014
846	5578	1007
847	5584	1001
848	5591	994
849	5596	987
850	5602	980
851	5608	974
852	5613	967
853	5621	961
854	5628	954
855	5635	947
856	5641	941
857	5648	934
858	5654	928
859	5659	921
860	5666	914
861	5673	908
862	5680	901
863	5686	895
864	5692	888
865	5698	881
866	5704	875
867	5709	868
868	5715	861
869	5721	854
870	5728	848
871	5735	841
872	5742	835
873	5749	828
874	5756	822
875	5762	815
876	5768	809
877	5774	802
878	5780	795
879	5786	789
880	5793	782
881	5801	776
882	5807	769
883	5813	762
884	5819	756
885	5825	749
886	5831	742
887	5836	736
888	5842	729
889	5848	722
890	5855	716
891	5862	709
892	5868	703
893	5874	696
894	5880	689
895	5886	683
896	5891	676
897	5897	669
898	5903	663
899	5908	656
900	5915	650
901	5923	643
902	5929	636
903	5935	630
904	5941	623
905	5947	617
906	5954	610
907	5959	603
908	5966	597
909	5972	590
910	5980	584
911	5986	577
912	5993	571
913	5999	564
914	6004	557
915	6010	551
916	6017	544
917	6022	537
918	6029	531
919	6036	524
920	6043	518
921	6051	511
922	6058	505
923	6065	498
924	6071	492
925	6078	485
926	6084	479
927	6089	472
928	6096	465
929	6103	459
930	6110	452
931	6116	446
932	6123	439
933	6129	433
934	6135	426
935	6141	419
936	6148	413
937	6155	406
938	6162	400
939	6168	393
940	6175	387
941	6180	380
942	6186	373
943	6192	367
944	6198	360
945	6204	354
946	6211	347
947	6218	341
948	6225	334
949	6232	328
950	6238	321
951	6244	314
952	6250	308
953	6256	301
954	6261	295
955	6267	288
956	6275	281
957	6282	275
958	6289	268
959	6296	262
960	6303	255
961	6310	249
962	6317	242
963	6326	236
964	6332	229
965	6338	223
966	6345	216
967	6352	210
968	6360	203
969	6367	196
970	6374	190
971	6380	183
972	6386	177
973	6392	170
974	6397	164
975	6405	157
976	6412	150
977	6419	144
978	6425	137
979	6431	131
980	6437	124
981	6443	118
982	6449	111
983	6455	104
984	6461	98
985	6468	91
986	6475	85
987	6482	78
988	6489	72
989	6496	65
990	6503	59
991	6509	52
992	6515	45
993	6521	39
994	6527	32
995	6535	26
996	6542	19
997	6549	13
998	6556	6
999	6562	0
